,property name,property street,property city,property state,property zipcode,Studio,1 Bedroom,2 Bedrooms,3 Bedrooms,Latitude,Longitude,URL
172,Atrium Apartments,2555 Welsh Rd,Philadelphia,PA,19114,NA,"$995 – 1,045","$1,195",NA,40.06883,-75.02974,https://www.apartments.com/atrium-apartments-philadelphia-pa/sl2bfg5/
173,Ridge Court Apartments,7014 Ridge Ave,Philadelphia,PA,19128,NA,"$1,075 – 1,100","$1,230 – 1,280",NA,40.04395,-75.22908,https://www.apartments.com/ridge-court-apartments-philadelphia-pa/1fjwpm6/
174,The Apartments At Delaire Landing,9355 State Rd,Philadelphia,PA,19114,NA,"$1,144 – 1,214","$1,302 – 1,412",NA,40.04769,-74.99015,https://www.apartments.com/the-apartments-at-delaire-landing-philadelphia-pa/kl6x868/
175,Bryn Mawr Suites Apartments,5100 Lebanon Ave,Philadelphia,PA,19131,NA,$945,NA,NA,39.98882,-75.22713,https://www.apartments.com/bryn-mawr-suites-apartments-philadelphia-pa/dxf7etj/
176,Fairview Arms Apartments,5201-5219 Wynnefield Ave,Philadelphia,PA,19131,NA,NA,NA,"$1,815",39.99231,-75.23079,https://www.apartments.com/fairview-arms-apartments-philadelphia-pa/9m9lkx6/
177,The Cornerstone,400 S 48th St,Philadelphia,PA,19143,NA,$825 – 950,"$1,225 – 1,300",NA,39.95232,-75.21884,https://www.apartments.com/the-cornerstone-philadelphia-pa/2lhplp8/
178,U City Flats,4612-4620 Sansom St,Philadelphia,PA,19139,NA,NA,"$1,650 – 1,725","$2,000",39.95614,-75.21429,https://www.apartments.com/u-city-flats-philadelphia-pa/ncc6h5m/
179,Regency Park,800 Cottman Ave,Philadelphia,PA,19111,Call for Rent,"$1,098 – 1,447","$1,224 – 1,871",Call for Rent,40.06264,-75.08666,https://www.apartments.com/regency-park-philadelphia-pa/7ezzbgx/
180,7400 Roosevelt,7400 Roosevelt Blvd,Philadelphia,PA,19152,NA,"$1,045 – 1,964","$1,255 – 2,252",NA,40.04757,-75.05287,https://www.apartments.com/7400-roosevelt-philadelphia-pa/csshb4e/
181,Carlton Park,2920 Midvale Ave,Philadelphia,PA,19129,NA,Call for Rent,"$1,250 – 1,500",Call for Rent,40.0221,-75.18027,https://www.apartments.com/carlton-park-philadelphia-pa/30psygg/
182,The Metropolitan,117 N 15th St,Philadelphia,PA,19102,"$1,595 – 1,735","$1,750 – 2,205",Call for Rent,Call for Rent,39.95515,-75.16459,https://www.apartments.com/the-metropolitan-philadelphia-pa/fmqqvsr/
183,The Riverloft,2300 Walnut St,Philadelphia,PA,19103,Call for Rent,"$2,475 – 5,591",NA,"$4,511 – 6,189",39.951,-75.17892,https://www.apartments.com/the-riverloft-philadelphia-pa/jjsmwp7/
184,Melrose Park Manor,210 W Cheltenham Ave,Philadelphia,PA,19126,NA,$844,$946,NA,40.05311,-75.12265,https://www.apartments.com/melrose-park-manor-philadelphia-pa/bx7y4db/
185,Westfield Apartments,2237 Bryn Mawr Ave,Philadelphia,PA,19131,NA,"$835 – 1,300","$1,050 – 1,550",NA,39.99219,-75.22627,https://www.apartments.com/westfield-apartments-philadelphia-pa/4yemsch/
186,Donna Court Apartments,631 Dupont St,Philadelphia,PA,19128,NA,"$954 – 1,203","$1,082 – 1,371",NA,40.03644,-75.21185,https://www.apartments.com/donna-court-apartments-philadelphia-pa/tv4yp6b/
187,Chestnut Terrace Apartments,7412 Stenton Ave,Philadelphia,PA,19150,NA,"$1,064","$1,225 – 1,445",NA,40.07087,-75.18613,https://www.apartments.com/chestnut-terrace-apartments-philadelphia-pa/f5c586v/
188,Lions Gate Apartments,10101 Northeast Ave,Philadelphia,PA,19116,NA,$975,"$1,225 – 1,350",NA,40.102,-75.02607,https://www.apartments.com/lions-gate-apartments-philadelphia-pa/qtnh17z/
189,Canterbury Apartments,33 E Roumfort Rd,Philadelphia,PA,19119,NA,NA,"$1,250 – 1,550",NA,40.06588,-75.19453,https://www.apartments.com/canterbury-apartments-philadelphia-pa/v21sn8d/
190,Ridgeview Apartments,6725 Ridge Ave,Philadelphia,PA,19128,NA,"$1,296 – 1,346","$1,360 – 1,422",NA,40.04148,-75.22438,https://www.apartments.com/ridgeview-apartments-philadelphia-pa/tsg2l5c/
191,www.carriagehousephilly.com,3500 Powelton Ave,Philadelphia,PA,19104,NA,NA,NA,NA,39.95963,-75.19304,https://www.apartments.com/wwwcarriagehousephillycom-philadelphia-pa/bmjte18/
192,the metropolitan wynnefield,5000 Woodbine Ave,Philadelphia,PA,19131,NA,"$999 – 1,265","$1,199 – 1,450",NA,39.9952,-75.22617,https://www.apartments.com/the-metropolitan-wynnefield-philadelphia-pa/s3qjyr4/
193,Hagert Lofts,1821 E Hagert St,Philadelphia,PA,19125,NA,"$1,315 – 1,495","$1,545 – 1,645",NA,39.98637,-75.13014,https://www.apartments.com/hagert-lofts-philadelphia-pa/kyh9jbc/
194,Domus,3411 Chestnut St,Philadelphia,PA,19104,NA,"$2,724 – 5,025",Call for Rent,Call for Rent,39.95494,-75.19302,https://www.apartments.com/domus-philadelphia-pa/mrvbv0l/
195,Scotts Mills,3510-3530 Scotts Ln,Philadelphia,PA,19129,Call for Rent,Call for Rent,"$1,795 – 1,995",Call for Rent,40.00748,-75.18656,https://www.apartments.com/scotts-mills-philadelphia-pa/zcppnly/
196,Academia Suites,1100 W Godfrey St,Philadelphia,PA,19141,$824 – 965,$875 – 905,NA,NA,40.04662,-75.13809,https://www.apartments.com/academia-suites-philadelphia-pa/bt3shz9/
197,The Chocolate Works,231-247 N 3rd St,Philadelphia,PA,19106,NA,"$1,570 – 2,005","$2,480 – 2,700",NA,39.95499,-75.144,https://www.apartments.com/the-chocolate-works-philadelphia-pa/3b90emf/
198,The Plaza,2350 Tremont St,Philadelphia,PA,19115,$800 – 825,Call for Rent,"$1,260","$1,300 – 1,375",40.07316,-75.03803,https://www.apartments.com/the-plaza-philadelphia-pa/q9kqs5z/
199,The Towers,2375 Woodward St,Philadelphia,PA,19115,Call for Rent,Call for Rent,"$1,150 – 1,350",NA,40.07236,-75.0389,https://www.apartments.com/the-towers-philadelphia-pa/hlg04t3/
200,Wadsworth Manor,1100-1117 E Mount Airy Ave,Philadelphia,PA,19150,NA,$725,$825,NA,40.07195,-75.17772,https://www.apartments.com/wadsworth-manor-philadelphia-pa/7nqmfbz/
201,1035 Spruce St Unit 105,1035 Spruce St Unit 105,Philadelphia,PA,19107,NA,NA,"$2,700",NA,39.94658,-75.15925,https://www.apartments.com/1035-spruce-st-philadelphia-pa-unit-105/kld9bec/
202,Cloverly Park Apartments,437-445 W School House Ln,Philadelphia,PA,19144,"$975 – 1,075","$1,100 – 1,215",NA,NA,40.02663,-75.18107,https://www.apartments.com/cloverly-park-apartments-philadelphia-pa/74bb81y/
203,Roosevelt,2220 Walnut St,Philadelphia,PA,19103,"$1,280 – 1,325","$1,420 – 1,695",NA,NA,39.95091,-75.17836,https://www.apartments.com/roosevelt-philadelphia-pa/kwhwv29/
204,Keppoch House,412-426 S 13th St,Philadelphia,PA,19147,"$1,565 – 1,960","$1,515 – 1,560","$2,995",NA,39.94485,-75.1633,https://www.apartments.com/keppoch-house-philadelphia-pa/jcr30n4/
205,Ambassador Apartments,851 Red Lion Rd,Philadelphia,PA,19115,NA,"$1,069 – 1,138","$1,299 – 1,378",NA,40.10487,-75.02927,https://www.apartments.com/ambassador-apartments-philadelphia-pa/zhlbp7y/
206,Spruce Apartments,1023-1028 Spruce St,Philadelphia,PA,19107,"$1,200 – 1,450","$1,750",NA,NA,39.94615,-75.15909,https://www.apartments.com/spruce-apartments-philadelphia-pa/zx0n4dx/
207,Netherlands,4300 Chestnut St,Philadelphia,PA,19104,NA,"$1,038 – 1,325","$1,243 – 1,500","$1,500 – 1,750",39.95626,-75.20916,https://www.apartments.com/netherlands-philadelphia-pa/1mv74l5/
208,801 S 47th St,801 S 47th St,Philadelphia,PA,19143,NA,"$1,400","$1,550 – 1,750","$1,900 – 2,100",39.94837,-75.21642,https://www.apartments.com/801-s-47th-st-philadelphia-pa/7p97m2x/
209,Walnut Court Apartments,685 W Walnut Ln,Philadelphia,PA,19144,NA,"$1,095 – 1,175","$1,345",NA,40.02843,-75.20576,https://www.apartments.com/walnut-court-apartments-philadelphia-pa/gmny23z/
210,Rittenhouse Square,1501 Locust St,Philadelphia,PA,19102,NA,"$2,285 – 2,340","$2,586 – 2,940",NA,39.94859,-75.16639,https://www.apartments.com/rittenhouse-square-philadelphia-pa/6bkdzfv/
211,The Umbrella Building,1401 N 5th St,Philadelphia,PA,19122,"$1,260 – 1,485","$1,560 – 1,725","$2,075 – 2,300",NA,39.97309,-75.14414,https://www.apartments.com/the-umbrella-building-philadelphia-pa/pr88lzt/
212,1 Brown,1 Brown St,Philadelphia,PA,19123,"$1,008 – 1,635","$1,500 – 2,428","$2,300 – 3,598","$2,750 – 5,538",39.9623,-75.13721,https://www.apartments.com/1-brown-philadelphia-pa/6fxklcs/
213,6161 Ridge,6161 Ridge Ave,Philadelphia,PA,19128,NA,"$1,425 – 1,475","$1,695",NA,40.03532,-75.21664,https://www.apartments.com/6161-ridge-philadelphia-pa/z4rzrpx/
214,The Madison,216 S 48th St,Philadelphia,PA,19139,$750 – 825,$875 – 925,"$1,150",NA,39.95524,-75.21817,https://www.apartments.com/the-madison-philadelphia-pa/1fzq4j7/
215,The Terrace,4931 Spruce St,Philadelphia,PA,19139,$799,$795,Call for Rent,NA,39.95437,-75.22147,https://www.apartments.com/the-terrace-philadelphia-pa/2dmfy68/
216,John Fox Towers - 62 years old plus,8-24 S 22nd St,Philadelphia,PA,19103,"$617 – 1,459",NA,NA,NA,39.95347,-75.177,https://www.apartments.com/john-fox-towers-62-years-old-plus-philadelphia-pa/s9qtjm5/
217,Wood Norton,370 W Johnson St,Philadelphia,PA,19144,NA,NA,"$1,600 – 1,800","$1,800 – 1,990",40.03849,-75.18939,https://www.apartments.com/wood-norton-philadelphia-pa/dmw5e2l/
218,The Bradford,507-515 S 8th St,Philadelphia,PA,19147,NA,NA,"$2,595",NA,39.94297,-75.15512,https://www.apartments.com/the-bradford-philadelphia-pa/lbvw35g/
219,The Becker Building,1151-1161 N 3rd St,Philadelphia,PA,19123,NA,"$1,550","$1,800 – 2,500",NA,39.96912,-75.14135,https://www.apartments.com/the-becker-building-philadelphia-pa/tzs41rb/
220,Divine Lorraine,699 N Broad St,Philadelphia,PA,19123,NA,"$1,455 – 1,875","$2,495 – 3,200",NA,39.96672,-75.16009,https://www.apartments.com/divine-lorraine-philadelphia-pa/vf4tx5e/
221,Audubon Apartments,6242 Roosevelt Blvd,Philadelphia,PA,19149,NA,$845 – 960,"$960 – 1,045",NA,40.03565,-75.07442,https://www.apartments.com/audubon-apartments-philadelphia-pa/5l6nw2n/
222,Northeast Apartments,2300 Hartel Ave,Philadelphia,PA,19152,NA,"$850 – 1,050","$1,250",NA,40.05457,-75.05362,https://www.apartments.com/northeast-apartments-philadelphia-pa/x8pf2hp/
223,Marine Club,1100 S Broad St,Philadelphia,PA,19146,"$1,325","$1,450 – 1,760","$1,550 – 1,850",NA,39.93761,-75.16778,https://www.apartments.com/marine-club-philadelphia-pa/8pkzpe1/
224,Lawndale Apartments,6000 Tabor Ave,Philadelphia,PA,19111,NA,$795,$925,NA,40.04338,-75.09639,https://www.apartments.com/lawndale-apartments-philadelphia-pa/6zq2xyt/
225,ChapelCroft Apartments,9629 Bustleton Ave,Philadelphia,PA,19115,$795,"$885 – 1,050","$1,200 – 1,350",NA,40.08719,-75.0346,https://www.apartments.com/chapelcroft-apartments-philadelphia-pa/qc6mc5y/
226,Oxford Towers,7210 Oxford Ave,Philadelphia,PA,19111,$750 – 825,$850 – 950,"$1,000 – 1,050",NA,40.05957,-75.08518,https://www.apartments.com/oxford-towers-philadelphia-pa/tglgfb9/
227,Lofts 640,640 N Broad St,Philadelphia,PA,19130,"$1,415 – 1,725","$1,525 – 1,960",NA,NA,39.96497,-75.16179,https://www.apartments.com/lofts-640-philadelphia-pa/bwg3mxc/
228,Cathedral East Apartments,700-750 E Cathedral Rd,Philadelphia,PA,19131,NA,"$1,100 – 1,175","$1,250",NA,40.06556,-75.23828,https://www.apartments.com/cathedral-east-apartments-philadelphia-pa/hs6ryz2/
229,The Willows at Wissahickon,549 Manheim St,Philadelphia,PA,19144,NA,$901,"$1,076 – 1,207","$1,417",40.02104,-75.17474,https://www.apartments.com/the-willows-at-wissahickon-philadelphia-pa/t0thpz9/
230,Chester Plaza,4605-4611 Chester Ave,Philadelphia,PA,19143,$900 – 950,"$1,150 – 1,200",NA,NA,39.94676,-75.21324,https://www.apartments.com/chester-plaza-philadelphia-pa/5j4wmgn/
231,Grant Meadows,3100 Grant Ave,Philadelphia,PA,19114,NA,$760 – 870,$985,NA,40.06969,-75.01187,https://www.apartments.com/grant-meadows-philadelphia-pa/5j9bncp/
232,Wimbledon Court,3112-3158 Grant Ave,Philadelphia,PA,19114,NA,NA,"$1,270",NA,40.06976,-75.01017,https://www.apartments.com/wimbledon-court-philadelphia-pa/761klcx/
233,Park Terrace Apartments,8040 Rowland Ave,Philadelphia,PA,19136,NA,$880 – 985,"$1,150 – 1,160",NA,40.04716,-75.0303,https://www.apartments.com/park-terrace-apartments-philadelphia-pa/75qzw0z/
234,117 Chestnut St,117 Chestnut St,Philadelphia,PA,19106,"$1,475 – 1,650",NA,NA,NA,39.94844,-75.14354,https://www.apartments.com/117-chestnut-st-philadelphia-pa/d2z0enl/
235,Brookshire Trace Townhomes & Duplexes,14040 Dana Ave,Philadelphia,PA,19116,NA,"$1,025 – 1,150","$1,250 – 1,395",NA,40.13132,-75.00735,https://www.apartments.com/brookshire-trace-townhomes-duplexes-philadelphia-pa/rhkkxr0/
236,The Cosmopolitan,221 S 12th St,Philadelphia,PA,19107,"$1,150 – 1,450","$1,500 – 1,850","$1,800 – 2,500",NA,39.948,-75.16044,https://www.apartments.com/the-cosmopolitan-philadelphia-pa/9dyqc57/
237,Manayunk Garden Apartments,3901 Manayunk Ave,Philadelphia,PA,19128,NA,NA,"$1,150 – 1,350",NA,40.02283,-75.2122,https://www.apartments.com/manayunk-garden-apartments-philadelphia-pa/jz2t5g4/
238,Evo at Cira Centre South,2930 Chestnut St,Philadelphia,PA,19104,NA,NA,NA,NA,39.95301,-75.18312,https://www.apartments.com/evo-at-cira-centre-south-philadelphia-pa/sjv12e7/
239,Victoria Woods Apartments and Townhomes,9601 Ashton Rd,Philadelphia,PA,19114,NA,$795,"$1,125","$1,500",40.06964,-75.01476,https://www.apartments.com/victoria-woods-apartments-and-townhomes-philadelphia-pa/lwf6l2f/
240,Scotchbrook Rental Townhomes,9275 Jamison Ave,Philadelphia,PA,19115,NA,NA,"$1,310 – 1,485",NA,40.08398,-75.04226,https://www.apartments.com/scotchbrook-rental-townhomes-philadelphia-pa/010p2h2/
241,St.Regis Apartments,2301 Tremont St,Philadelphia,PA,19115,NA,"$990 – 1,115","$1,240 – 1,445",NA,40.07486,-75.03749,https://www.apartments.com/stregis-apartments-philadelphia-pa/st3e3d4/
242,Evergreen Manor,2301 Woodward St,Philadelphia,PA,19115,NA,$775 – 790,$850 – 900,NA,40.07266,-75.03937,https://www.apartments.com/evergreen-manor-philadelphia-pa/krghc08/
243,Ashley Court Apartments,10900-10960 Bustleton Ave,Philadelphia,PA,19116,$800,$900 – 950,"$1,250",NA,40.11251,-75.02445,https://www.apartments.com/ashley-court-apartments-philadelphia-pa/ldfx4kg/
244,Sylvania Gardens Apartments,414-424 S 48th St,Philadelphia,PA,19143,$895 – 950,"$995 – 1,025",NA,NA,39.952,-75.21876,https://www.apartments.com/sylvania-gardens-apartments-philadelphia-pa/t5x38nb/
245,Cedar Glen Apartments,9120-9140 Old Bustleton Ave,Philadelphia,PA,19115,NA,$810 – 860,$910 – 960,NA,40.07885,-75.04175,https://www.apartments.com/cedar-glen-apartments-philadelphia-pa/1y6veb6/
246,Heatherwood Apartments,9200 Bustleton Ave,Philadelphia,PA,19115,NA,$933,"$1,090 – 1,140",NA,40.08178,-75.04269,https://www.apartments.com/heatherwood-apartments-philadelphia-pa/ehl3nwn/
247,Blue Grass Estates,9213 Blue Grass Rd,Philadelphia,PA,19114,NA,$865 – 950,"$1,025 – 1,080","$1,325 – 1,380",40.07195,-75.02931,https://www.apartments.com/blue-grass-estates-philadelphia-pa/eqlchvp/
248,Welshwood Apartments,2661 Willits Rd,Philadelphia,PA,19114,NA,$995,"$1,195",NA,40.06775,-75.02699,https://www.apartments.com/welshwood-apartments-philadelphia-pa/4lmyyxh/
249,The Link at University City,3600-3630 Lancaster Ave,Philadelphia,PA,19104,"$2,169","$2,199 – 2,549","$2,898 – 3,398","$4,037 – 4,797",39.95862,-75.19425,https://www.apartments.com/the-link-at-university-city-philadelphia-pa/f0nhpcs/
250,Park Chase Apartments,8118 Verree Rd,Philadelphia,PA,19111,$740,$800 – 895,$995,NA,40.07543,-75.07544,https://www.apartments.com/park-chase-apartments-philadelphia-pa/19nl1h5/
251,Colonial Village Townhomes,8875 Ridge Ave,Philadelphia,PA,19128,NA,NA,"$1,385","$1,495",40.0685,-75.23969,https://www.apartments.com/colonial-village-townhomes-philadelphia-pa/ehd8whq/
252,1401 Walnut St,1401 Walnut St,Philadelphia,PA,19102,NA,NA,NA,NA,39.94955,-75.16458,https://www.apartments.com/1401-walnut-st-philadelphia-pa/pj642vv/
253,West Loft Apartments,4700 Walnut St,Philadelphia,PA,19139,"$1,015 – 1,165","$1,150 – 1,620","$1,799 – 1,950","$2,325 – 2,500",39.95526,-75.21692,https://www.apartments.com/west-loft-apartments-philadelphia-pa/wlt98hj/
254,The Belmont Apartments,4401 Conshohocken Ave,Philadelphia,PA,19131,NA,$925 – 975,"$1,050 – 1,150",NA,40.00023,-75.2202,https://www.apartments.com/the-belmont-apartments-philadelphia-pa/zee7vmx/
255,Frankford Lofts,1045 Frankford Ave,Philadelphia,PA,19125,"$1,345","$1,695 – 1,995","$1,895 – 2,445","$2,295",39.96724,-75.13422,https://www.apartments.com/frankford-lofts-philadelphia-pa/fyxtl2s/
256,1201 Spruce,1201 Spruce St,Philadelphia,PA,19107,NA,NA,"$2,245 – 2,295",NA,39.94678,-75.16114,https://www.apartments.com/1201-spruce-philadelphia-pa/5r7celn/
257,Canal House,4312 Main St,Philadelphia,PA,19127,"$1,295 – 1,320","$1,440 – 1,660",Call for Rent,NA,40.02469,-75.22213,https://www.apartments.com/canal-house-philadelphia-pa/jcyjc66/
258,Paseo Verde South,1950 N 9th St,Philadelphia,PA,19122,NA,"$1,313","$1,305",NA,39.98138,-75.149,https://www.apartments.com/paseo-verde-south-philadelphia-pa/1x6hct5/
259,Apartments @ 1220,1220-1246 N Broad St,Philadelphia,PA,19121,$930,$985,"$1,150 – 1,275",NA,39.97263,-75.15955,https://www.apartments.com/apartments-1220-philadelphia-pa/p17l0zr/
260,Greenbriar Club Apartments,3901 Conshohocken Ave,Philadelphia,PA,19131,$845 – 950,"$1,100","$1,425 – 1,495",NA,40.00453,-75.20682,https://www.apartments.com/greenbriar-club-apartments-philadelphia-pa/fvhvnwr/
261,Gail Court,713-717 Rhawn St,Philadelphia,PA,19111,Call for Rent,$935,"$1,255",NA,40.0747,-75.07842,https://www.apartments.com/gail-court-philadelphia-pa/v7ft91d/
262,Stevenson Terrace Apartments,6201 N 10th St,Philadelphia,PA,19141,$775 – 875,$840 – 980,$995,"$1,200 – 1,300",40.04692,-75.13544,https://www.apartments.com/stevenson-terrace-apartments-philadelphia-pa/1pnzge4/
263,Terrace South,2275 Winchester Ave,Philadelphia,PA,19115,NA,NA,NA,NA,40.07392,-75.0402,https://www.apartments.com/terrace-south-philadelphia-pa/jghjkq4/
264,Head House Flats-Abbotts Square,528 S 2nd St,Philadelphia,PA,19147,"$1,295 – 1,395","$1,795 – 2,295",NA,NA,39.94182,-75.14586,https://www.apartments.com/head-house-flats-abbotts-square-philadelphia-pa/hmw1n80/
265,Phillip Murray House,6300 Old York Rd,Philadelphia,PA,19141,NA,NA,NA,NA,40.04971,-75.14541,https://www.apartments.com/phillip-murray-house-philadelphia-pa/gjvc95z/
266,6300 City,6300-6318 City Ave,Philadelphia,PA,19151,"$900 – 1,050","$1,150 – 1,400",NA,NA,39.9892,-75.25104,https://www.apartments.com/6300-city-philadelphia-pa/h1mwtg3/
267,Spruce Hill Court,4400 Spruce St,Philadelphia,PA,19104,NA,NA,NA,"$1,650 – 1,800",39.95245,-75.21128,https://www.apartments.com/spruce-hill-court-philadelphia-pa/fjsv6ht/
268,Penn's View,303 Vine St,Philadelphia,PA,19106,NA,"$1,595 – 1,725","$2,135",NA,39.95613,-75.14497,https://www.apartments.com/penns-view-philadelphia-pa/xkhzb9p/
269,Walnut Hill Apartments,4111 Walnut St,Philadelphia,PA,19104,NA,"$1,230 – 1,425",NA,NA,39.95488,-75.20573,https://www.apartments.com/walnut-hill-apartments-philadelphia-pa/k4e1dj8/
270,Florence Gardens,506 S 41st St,Philadelphia,PA,19104,NA,"$1,050",NA,NA,39.94918,-75.20614,https://www.apartments.com/florence-gardens-philadelphia-pa/7pzjmlz/
271,The Chatham,135 S 20th St,Philadelphia,PA,19103,"$1,300","$1,585","$1,950",NA,39.95073,-75.17369,https://www.apartments.com/the-chatham-philadelphia-pa/918dxc7/
272,AQ Overbrook Flats,6358 Lancaster Ave,Philadelphia,PA,19151,NA,"$875 – 1,200","$1,250 – 1,399",NA,39.98623,-75.25086,https://www.apartments.com/aq-overbrook-flats-philadelphia-pa/xxjhzvq/
273,2400 Chestnut St.,2400 Chestnut St,Philadelphia,PA,19103,"$1,760 – 1,860","$1,825 – 1,970","$2,230 – 2,720",NA,39.95244,-75.1795,https://www.apartments.com/2400-chestnut-st-philadelphia-pa/zqgzz2x/
274,Mural Lofts,523 N Broad St,Philadelphia,PA,19123,NA,"$1,375 – 2,250","$2,000 – 2,500",NA,39.96259,-75.16022,https://www.apartments.com/mural-lofts-philadelphia-pa/1ln4mn6/
275,Birchwood Hill Apartments,5115 Wissahickon Ave,Philadelphia,PA,19144,NA,$830,$947,NA,40.02123,-75.17562,https://www.apartments.com/birchwood-hill-apartments-philadelphia-pa/qz5nzpx/
276,Juniper Place,247-249 S Juniper St,Philadelphia,PA,19107,$935,"$1,225",NA,NA,39.94755,-75.16342,https://www.apartments.com/juniper-place-philadelphia-pa/89cqne1/
277,Westwood,4404 Walnut St,Philadelphia,PA,19104,NA,"$1,350","$1,250 – 1,500","$1,550",39.95525,-75.21037,https://www.apartments.com/westwood-philadelphia-pa/wb30bdj/
278,The Grand Corinthian,909 Corinthian Ave,Philadelphia,PA,19130,NA,NA,"$1,600",NA,39.97204,-75.17033,https://www.apartments.com/the-grand-corinthian-philadelphia-pa/nvmrrnm/
279,Bank Street Court,24-30 S Bank St,Philadelphia,PA,19106,"$1,325","$1,525",NA,NA,39.94904,-75.14534,https://www.apartments.com/bank-street-court-philadelphia-pa/d6qjbgl/
280,4519-4525 Pine St,4519-4525 Pine St,Philadelphia,PA,19143,NA,"$1,150 – 1,200","$1,700 – 1,800","$1,700 – 1,800",39.95211,-75.21315,https://www.apartments.com/4519-4525-pine-st-philadelphia-pa/6ppl4dr/
281,Congress Hall,5001-5023 Erringer Pl,Philadelphia,PA,19144,NA,$700 – 750,$850,NA,40.02124,-75.17145,https://www.apartments.com/congress-hall-philadelphia-pa/mn265xk/
282,Dockside Luxury Apartments,717 S Christopher Columbus Blvd,Philadelphia,PA,19147,NA,NA,"$2,200 – 3,100",NA,39.93908,-75.1408,https://www.apartments.com/dockside-luxury-apartments-philadelphia-pa/s4ghtr4/
283,Franklin Square Townhomes,3850 Woodhaven Rd,Philadelphia,PA,19154,NA,NA,"$1,075 – 1,275",NA,40.08899,-74.97547,https://www.apartments.com/franklin-square-townhomes-philadelphia-pa/trkyvnc/
284,Four Freedoms House- Seniors 62 yrs and older,6101 Morris St,Philadelphia,PA,19144,NA,NA,NA,NA,40.03393,-75.18663,https://www.apartments.com/four-freedoms-house-seniors-62-yrs-and-older-philadelphia-pa/9x9g5e6/
285,The Lofts at Brewerytown,3000 W Master St,Philadelphia,PA,19121,NA,NA,NA,NA,39.97761,-75.18493,https://www.apartments.com/the-lofts-at-brewerytown-philadelphia-pa/l5tyhzd/
286,The Brownstones at Diamond Street,3200 W Diamond St,Philadelphia,PA,19121,NA,$887,"$1,060","$1,221",39.98827,-75.18573,https://www.apartments.com/the-brownstones-at-diamond-street-philadelphia-pa/v2fe77g/
287,Hillside Garden,6060 Crescentville Rd,Philadelphia,PA,19120,NA,$825 – 900,"$925 – 1,050",NA,40.04219,-75.1147,https://www.apartments.com/hillside-garden-philadelphia-pa/yqxjmkr/
288,Lotus Village Apartments,1121 N 66th St,Philadelphia,PA,19151,NA,NA,$925,NA,39.98006,-75.25426,https://www.apartments.com/lotus-village-apartments-philadelphia-pa/vw3wgqd/
289,Princeton Gardens,7330 Germantown Ave,Philadelphia,PA,19119,NA,"$1,045 – 1,075","$1,195 – 1,345",NA,40.06173,-75.19288,https://www.apartments.com/princeton-gardens-philadelphia-pa/011cer0/
290,227 Krams Ave,227 Krams Ave,Philadelphia,PA,19127,NA,"$1,350 – 1,695","$1,875 – 2,300",NA,40.03051,-75.22507,https://www.apartments.com/227-krams-ave-philadelphia-pa/j7yccr5/
291,410 Shurs Lane,410 Shurs Ln,Philadelphia,PA,19127,"$1,050 – 1,200","$1,300 – 1,650","$1,875 – 2,300",NA,40.02592,-75.21232,https://www.apartments.com/410-shurs-lane-philadelphia-pa/fs58ghs/
292,Manchester Apartments,2800 Welsh Rd,Philadelphia,PA,19152,$695,$785 – 850,$965,NA,40.06346,-75.02848,https://www.apartments.com/manchester-apartments-philadelphia-pa/psk79rv/
293,Larchwood Garden Apartments,2809 S 82nd St,Philadelphia,PA,19153,NA,NA,"$25 – 1,024","$25 – 1,155",39.89818,-75.24808,https://www.apartments.com/larchwood-garden-apartments-philadelphia-pa/qwgmblx/
294,Knightsbridge Apartments,2900 Knights Rd,Bensalem,PA,19020,NA,"$1,227 – 1,247","$1,390 – 1,474",NA,40.1046,-74.95313,https://www.apartments.com/knightsbridge-apartments-bensalem-pa/efzzlfm/
295,Korman Residential at Willow Shores,4067 Harbour Dr,Palmyra,NJ,08065,NA,"$1,085 – 2,600","$1,305 – 2,900",NA,40.00712,-75.03575,https://www.apartments.com/korman-residential-at-willow-shores-palmyra-nj/zldd8hx/
296,Hill Brook Place Apartment Homes,2517 Dunksferry Rd,Bensalem,PA,19020,"$1,050 – 1,745","$1,145 – 2,068","$1,350 – 2,331","$1,990 – 2,827",40.10328,-74.95683,https://www.apartments.com/hill-brook-place-apartment-homes-bensalem-pa/znhwswz/
297,the metropolitan bala cynwyd,118 Montgomery Ave,Bala Cynwyd,PA,19004,NA,"$1,440","$1,530",NA,40.00515,-75.23819,https://www.apartments.com/the-metropolitan-bala-cynwyd-bala-cynwyd-pa/m4np82l/
298,Arbor Lane Apartments,600 Old Street Rd,Feasterville,PA,19053,NA,"$1,114 – 1,179","$1,377 – 1,407",NA,40.14172,-74.98608,https://www.apartments.com/arbor-lane-apartments-feasterville-pa/e0cv9pp/
299,Elkins Park Terrace,22 Township Line Rd,Elkins Park,PA,19027,NA,"$1,070",Call for Rent,NA,40.07065,-75.10016,https://www.apartments.com/elkins-park-terrace-elkins-park-pa/fn4jxrr/
300,The Victor,1 Market St,Camden,NJ,08102,Call for Rent,"$1,302 – 1,949","$1,882",Call for Rent,39.94745,-75.12726,https://www.apartments.com/the-victor-camden-nj/9nmzzq7/
301,Parkwood Manor,83 S State Rd,Upper Darby,PA,19082,$735,$865,NA,NA,39.96139,-75.27356,https://www.apartments.com/parkwood-manor-upper-darby-pa/81945d2/
