,property name,property street,property city,property state,property zipcode,Studio,1 Bedroom,2 Bedrooms,3 Bedrooms,Latitude,Longitude,URL
81,"Dobson Studios, Lofts and apartments",4055 Ridge Ave,Philadelphia,PA,19129,"$945 – 1,055","$1,030 – 1,780","$1,430 – 1,980","$2,385 – 2,435",40.00775,-75.18894,https://www.apartments.com/dobson-studios-lofts-and-apartments-philadelphia-pa/z18pmxz/
82,The Porter,2940 W Thompson St,Philadelphia,PA,19121,"$1,250","$1,400 – 1,700",NA,NA,39.9764,-75.18453,https://www.apartments.com/the-porter-philadelphia-pa/kyf9blc/
83,Stable Lofts,631 N Broad St,Philadelphia,PA,19123,"$1,750","$1,900 – 2,500","$2,800 – 3,600",NA,39.9645,-75.16052,https://www.apartments.com/stable-lofts-philadelphia-pa/tzp3cnc/
84,Edgewater Apartments,2323 Race St,Philadelphia,PA,19103,"$1,890 – 1,975","$2,400 – 2,555","$2,665 – 3,365","$4,415",39.95871,-75.17798,https://www.apartments.com/edgewater-apartments-philadelphia-pa/tdb3pqb/
85,The Wellington,135 S 19th St,Philadelphia,PA,19103,"$1,295","$1,695 – 2,300","$2,750 – 3,200","$7,500",39.95074,-75.17221,https://www.apartments.com/the-wellington-philadelphia-pa/h4qd3v1/
86,Northbrook Apartment Homes,1340 Stewarts Way,Philadelphia,PA,19154,NA,"$989 – 1,049","$1,169 – 1,219",NA,40.09686,-74.98482,https://www.apartments.com/northbrook-apartment-homes-philadelphia-pa/9mcjb25/
87,The Mansion at Bala,4700 City Ave,Philadelphia,PA,19131,NA,"$1,345 – 1,815","$1,825 – 2,070","$2,885",40.00113,-75.2252,https://www.apartments.com/the-mansion-at-bala-philadelphia-pa/48hrl8l/
88,Lennox Apartments,236 W Walnut Ln,Philadelphia,PA,19144,$715 – 755,$825 – 895,NA,NA,40.03645,-75.18273,https://www.apartments.com/lennox-apartments-philadelphia-pa/bm4swb8/
89,The Legacy at Drexel Arms,6301 Overbrook Ave,Philadelphia,PA,19151,NA,NA,NA,NA,39.98849,-75.2504,https://www.apartments.com/the-legacy-at-drexel-arms-philadelphia-pa/lgelnpg/
90,The Lofts At Chimney Hill,161 Leverington Ave,Philadelphia,PA,19127,NA,"$1,300 – 1,700","$1,550 – 1,800",NA,40.02987,-75.22745,https://www.apartments.com/the-lofts-at-chimney-hill-philadelphia-pa/cmjwghg/
91,335 Bala,335 Righters Ferry Rd,Bala Cynwyd,PA,19004,NA,"$1,700 – 2,305","$2,800 – 3,750",NA,40.01059,-75.22003,https://www.apartments.com/335-bala-bala-cynwyd-pa/1z2hmn4/
92,Salem Harbour,455 Old Bridge Rd,Bensalem,PA,19020,NA,"$1,291 – 1,426","$1,538 – 1,638",NA,40.05504,-74.98002,https://www.apartments.com/salem-harbour-bensalem-pa/h5q6mh3/
93,The Royal Athena,600 Righters Ferry Rd,Bala Cynwyd,PA,19004,NA,"$1,469 – 3,328","$2,200 – 4,190",NA,40.01728,-75.21557,https://www.apartments.com/the-royal-athena-bala-cynwyd-pa/sy3f9q7/
94,The Kelly,10 Union Ave,Bala Cynwyd,PA,19004,NA,"$1,700 – 2,147","$2,550 – 3,620","$3,705 – 3,970",40.00317,-75.22993,https://www.apartments.com/the-kelly-bala-cynwyd-pa/hezp011/
95,Hamilton Court East Apartments,3455 Street Road,Bensalem,PA,19020,NA,"$999 – 1,149","$1,349",NA,40.12427,-74.96165,https://www.apartments.com/hamilton-court-east-apartments-bensalem-pa/1r0mh55/
96,Towers at Wyncote,8440 Limekiln Pike,Wyncote,PA,19095,"$1,095 – 1,843","$1,270 – 2,530","$1,400 – 4,169","$2,160 – 4,191",40.085,-75.16492,https://www.apartments.com/towers-at-wyncote-wyncote-pa/dk1pfrl/
97,The Fairmount @ Brewerytown,1363 N 31st St,Philadelphia,PA,19121,"$1,459","$1,447 – 1,748","$1,936 – 2,524",NA,39.97759,-75.18534,https://www.apartments.com/the-fairmount-brewerytown-philadelphia-pa/sdk4z77/
98,Icon,1616 Walnut St,Philadelphia,PA,19103,"$1,671 – 2,793","$1,444 – 3,277","$3,089 – 4,728","$3,967 – 6,818",39.94955,-75.16845,https://www.apartments.com/icon-philadelphia-pa/6d31ljs/
99,Greene Manor,239-259 W Johnson St,Philadelphia,PA,19144,$935,"$1,030 – 1,205","$1,170 – 1,445",Call for Rent,40.04175,-75.18711,https://www.apartments.com/greene-manor-philadelphia-pa/91kmnx6/
100,Franklin Tower Residences,200 N 16th St,Philadelphia,PA,19102,NA,"$1,950 – 2,825","$3,250 – 3,395",NA,39.95717,-75.16628,https://www.apartments.com/franklin-tower-residences-philadelphia-pa/zxjdetx/
